id,healthCenterId,name,contractId,typeId,type,address,hasOnlineRecommendation,hasRecommendation,provinceName,cityName,latitude,longitude,distance,duration,specialty,URL,type_name
114621,153594,درمانگاه شبانه روزی هخامنش -شیراز,1067473,1000166,درمانگاه,فارس - شيراز - باهنر جنوبي -ميدان پارسه -بلوارپاسارگاد غربي - بعد از خيابان صنعتگر-پلاک58-طبقه 4-واحد4,True,True,استان فارس,شيراز,29.5995254948,52.4873063341,,,,https://iranassistance.com/medical-centers/114621,درمانگاه
114624,153628,آزمایشگاه پاتوبیولوژی هرمس-شیراز,1067476,1000106,آزمایشگاه,فارس - شيراز - خيابان قدوسي غربي - بين کوچه 16و18-ساختمان هرمس,True,True,استان فارس,شيراز,29.6386219442,52.4751612432,,,,https://iranassistance.com/medical-centers/114624,آزمایشگاه
114629,153691,آزمایشگاه پاتوبیولوژی ساریژ-جوانرود,1067481,1000106,آزمایشگاه,کرمانشاه - جوانرود -خيابان حمزه -کوچه احسان 5-پلاک 3 -طبقه اول -واحد1,True,True,استان کرمانشاه,جوانرود,34.804856994,46.4942786025,,,,https://iranassistance.com/medical-centers/114629,آزمایشگاه
114632,153712,مرکزفیزیوتراپی جهان سیر-شاهرود,1067484,1000104,فیزیوتراپی,سمنان-شاهرود-خيابان امام خميني (ره)-روبروي داروخانه دي -کوچه سوم -ساختمان مهرگان -پلاک 35 -طبقه 2 -واحد 4,True,True,استان سمنان,شاهرود,36.4240624765,54.9679041887,,,,https://iranassistance.com/medical-centers/114632,فیزیوتراپی
114634,153721,آزمایشگاه پاتوبیولوژی خاتم الانبیاء-همدان,1067486,1000106,آزمایشگاه,همدان-پياده راه بوعلي - روبروي سينما قدس - مجتمع پزشکي پارس -طبقه زيرين,True,True,استان همدان,همدان,34.7933267608,48.5140265354,,,,https://iranassistance.com/medical-centers/114634,آزمایشگاه
114635,153723,آزمایشگاه پاتوبیولوژی دکتر ثبات-شیراز,1067487,1000106,آزمایشگاه,فارس - شيراز -بلواربوستان -جنب مسجد جامع,True,True,استان فارس,شيراز,29.6081630889,52.5447039762,,,,https://iranassistance.com/medical-centers/114635,آزمایشگاه
114636,153731,مرکز فیزیوتراپی تسکین-گرمسار,1067488,1000104,فیزیوتراپی,سمنان - گرمسار-ميدان شهداء- مجتمع ابريشم -طبقه سوم -واحد 11,True,True,استان سمنان,گرمسار,35.2138147348,52.3325051155,,,,https://iranassistance.com/medical-centers/114636,فیزیوتراپی
114637,153809,درمانگاه خیریه مهد کرامت-سمنان,1067489,1000166,درمانگاه,سمنان -بلوار حکيم الهي - نبش بلوار حکيم الهي 16,True,True,استان سمنان,سمنان,35.5638607208,53.3902923637,,,,https://iranassistance.com/medical-centers/114637,درمانگاه
114644,153988,درمانگاه شفابخش-شیراز,1067497,1000166,درمانگاه,شيراز-بلوارمدرس-خيابان شهيد دوران,True,True,استان فارس,شيراز,29.5567040588,52.5960319096,,,,https://iranassistance.com/medical-centers/114644,درمانگاه
114645,154011,آزمایشگاه تشخیص طبی و پاتولوژی زاگرس-یاسوج,1067498,1000106,آزمایشگاه,کهکيلويه وبويراحمد-ياسوج-بلوارچمران-جنب درمانگاه مهر-طبقه زيرزمين,True,True,استان کهگیلویه و بویراحمد,ياسوج,30.6639539256,51.5962185011,,,,https://iranassistance.com/medical-centers/114645,آزمایشگاه
